Scheme Name	Net Asset Value
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2814
	
	
	
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.1068
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.3929
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.1996
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0586
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.3093
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3436
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0561
	
	
	
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.4753
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.4747
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3174
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3184
	
	
	
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.6129
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.6127
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.0629
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.6127
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6924
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.7636
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2768
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.0629
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6275
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.7063
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2774
	
	
	
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.3986
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.632
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.379
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
PGIM India Banking and PSU Debt fund -Growth	21.2368
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.6999
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	22.2632
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1261.5421
SBI BANKING & PSU FUND - Direct Plan - Growth	2864.0636
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1224.0129
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1258.7384
SBI BANKING & PSU FUND - Regular Paln - Growth	2717.1598
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1239.6441
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1163.0579
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1239.3811
	
	
	
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.9185
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.8168
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5654
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.8506
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3549
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.3819
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.6176
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1085
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.6890
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5221
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
	
	
	
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.7701
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.7701
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.5218
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5218
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.7701
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.5218
	
	
	
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1125.6613
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1111.1046
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1054.0814
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1129.0266
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1043.8881
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1059.1052
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1035.0465
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1039.8812
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1113.6721
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1035.2062
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1046.0291
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1028.954
	
	
	
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.3398
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.6752
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.3509
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.8408
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6617
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.4026
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.1845
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.8177
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.7642
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5246
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.1168
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.1138
	
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	98.8978
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.5653
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.2647
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.4934
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.6937
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3458
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
	
	
	
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2334
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.2204
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.1482
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3678
Axis Corporate Debt Fund - Direct Plan Growth	15.4944
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2331
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.2151
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.4891
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2491
Axis Corporate Debt Fund - Regular Plan Growth	14.7984
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.4879
BANDHAN Corporate Bond Fund - Direct Growth	17.1490
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.7273
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3539
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.3773
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.5042
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.4703
BANDHAN Corporate Bond Fund - Regular Growth	16.7495
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1038
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6071
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.2914
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.5441
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.6283
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.4705
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1608
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.2738
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.8075
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	25.0722
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2525
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.4479
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.5643
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.7359
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.1934
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.2846
	
	
	
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	20.2582
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.2627
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	19.1296
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5822
	
	
	
DSP Corporate Bond Fund - Direct - Growth	14.1053
DSP Corporate Bond Fund - Direct - IDCW	11.5173
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4477
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.2510
DSP Corporate Bond Fund - Regular - Growth	13.9285
DSP Corporate Bond Fund - Regular - IDCW	11.4844
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4284
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.6105
	
	
	
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	92.1759
Franklin India Corporate Debt Fund - Growth	85.9700
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.6320
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.6288
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9355
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5682
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.6511
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	13.0183
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	14.8474
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1498
	
	
	
HDFC Corporate Bond Fund - Growth Option	28.1656
HDFC Corporate Bond Fund - Growth Option - Direct Plan	28.6543
HDFC Corporate Bond Fund - IDCW Option	18.2464
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	18.753
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4244
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.2637
	
	
	
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0928
HSBC Corporate Bond Fund - Direct Growth	67.1934
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.4719
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3605
HSBC Corporate Bond Fund - Regular Annual IDCW	11.9021
HSBC Corporate Bond Fund - Regular Growth	63.4683
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1142
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.1697
HSBC Corporate Bond Fund -Regular Plan - Bonus	24.1087
	
	
	
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	27.0036
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2318
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.1987
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	25.8846
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3862
